Time,Lon,Lat,W,T_max,S,P,W_mean,H_min,R,is_river
2025/4/8 12:48,106.59,26.628,12.11751313,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 12:49,106.59,26.628,13.54215158,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 12:50,106.59,26.628,10.56153982,11.01,1.8,0.92295,29.41807,85.9576,31.803585453156085,0
2025/4/8 12:51,106.59,26.628,12.91148673,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 12:52,106.59,26.628,2.972795248,11.01,1.8,0.92295,29.41807,85.9576,7.406314420597992,0
2025/4/8 12:53,106.59,26.628,16.73239983,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 12:54,106.59,26.628,12.74933696,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 12:55,106.59,26.628,13.79853144,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 12:56,106.59,26.628,11.53950709,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 12:57,106.59,26.628,12.79675218,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 12:58,106.59,26.628,5.386604255,11.01,1.8,0.92295,29.41807,85.9576,12.634301070431867,0
2025/4/8 12:59,106.59,26.628,8.846947807,11.01,1.8,0.92295,29.41807,85.9576,22.218943261793974,0
2025/4/8 13:00,106.59,26.628,15.74663881,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 13:01,106.59,26.628,6.248216624,11.01,1.8,0.92295,29.41807,85.9576,14.37696328704316,0
2025/4/8 13:02,106.59,26.628,12.14512733,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 13:03,106.59,26.628,10.29645157,11.01,1.8,0.92295,29.41807,85.9576,31.803585453156085,0
2025/4/8 13:04,106.59,26.628,12.41270124,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 13:05,106.59,26.628,10.794768,11.01,1.8,0.92295,29.41807,85.9576,31.803585453156085,0
2025/4/8 13:06,106.59,26.628,20.63151718,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 13:07,106.59,26.628,15.63216169,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 13:08,106.59,26.628,6.075873503,11.01,1.8,0.92295,29.41807,85.9576,14.37696328704316,0
2025/4/8 13:09,106.59,26.628,9.084935609,11.01,1.8,0.92295,29.41807,85.9576,26.13993324916938,0
2025/4/8 13:10,106.59,26.628,17.50602579,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 13:11,106.59,26.628,1.85011507,11.01,1.8,0.92295,29.41807,85.9576,6.099317758139523,0
2025/4/8 13:12,106.59,26.628,6.059126977,11.01,1.8,0.92295,29.41807,85.9576,14.37696328704316,0
2025/4/8 13:13,106.59,26.628,13.11906806,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 13:14,106.59,26.628,15.58060147,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 13:15,106.59,26.628,4.380479443,11.01,1.8,0.92295,29.41807,85.9576,10.455973299667754,0
2025/4/8 13:16,106.59,26.628,5.268697133,11.01,1.8,0.92295,29.41807,85.9576,12.634301070431867,0
2025/4/8 13:17,106.59,26.628,9.869949481,11.01,1.8,0.92295,29.41807,85.9576,26.13993324916938,0
2025/4/8 13:18,106.59,26.628,15.20212054,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 13:19,106.59,26.628,11.10014793,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 13:20,106.59,26.628,12.35710246,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 13:21,106.59,26.628,10.53207417,11.01,1.8,0.92295,29.41807,85.9576,31.803585453156085,0
2025/4/8 13:22,106.59,26.628,10.80791767,11.01,1.8,0.92295,29.41807,85.9576,31.803585453156085,0
2025/4/8 13:23,106.59,26.628,4.625185966,11.01,1.8,0.92295,29.41807,85.9576,10.455973299667754,0
2025/4/8 13:24,106.59,26.628,15.10479687,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 13:25,106.59,26.628,11.19713168,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 13:26,106.59,26.628,11.82792415,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 13:27,106.59,26.628,10.37153891,11.01,1.8,0.92295,29.41807,85.9576,31.803585453156085,0
2025/4/8 13:28,106.59,26.628,10.8428764,11.01,1.8,0.92295,29.41807,85.9576,31.803585453156085,0
2025/4/8 13:29,106.59,26.628,14.27247449,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 13:30,106.59,26.628,11.68633181,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 13:31,106.59,26.628,12.45363027,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 13:32,106.59,26.628,11.300235,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 13:33,106.59,26.628,6.129490762,11.01,1.8,0.92295,29.41807,85.9576,14.37696328704316,0
2025/4/8 13:34,106.59,26.628,14.19439765,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 13:35,106.59,26.628,11.85750963,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 13:36,106.59,26.628,13.63630167,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 13:37,106.59,26.628,11.81184663,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 13:38,106.59,26.628,15.88371176,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 13:39,106.59,26.628,17.93538284,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 13:40,106.59,26.628,11.11496331,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 13:41,106.59,26.628,11.19825156,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 13:42,106.59,26.628,3.936117736,11.01,1.8,0.92295,29.41807,85.9576,8.713311083056462,0
2025/4/8 13:43,106.59,26.628,12.86695598,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 13:44,106.59,26.628,17.11196823,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 13:45,106.59,26.628,12.84766288,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 13:46,106.59,26.628,8.189567893,11.01,1.8,0.92295,29.41807,85.9576,22.218943261793974,0
2025/4/8 13:47,106.59,26.628,13.71480465,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 13:48,106.59,26.628,13.15687947,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 13:49,106.59,26.628,1.863838503,11.01,1.8,0.92295,29.41807,85.9576,6.099317758139523,0
2025/4/8 13:50,106.59,26.628,6.284466452,11.01,1.8,0.92295,29.41807,85.9576,14.37696328704316,0
2025/4/8 13:51,106.59,26.628,12.05551578,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 13:52,106.59,26.628,16.22106546,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 13:53,106.59,26.628,13.39776336,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 13:54,106.59,26.628,6.206583804,11.01,1.8,0.92295,29.41807,85.9576,14.37696328704316,0
2025/4/8 13:55,106.59,26.628,11.5678702,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 13:56,106.59,26.628,18.56991781,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 13:57,106.59,26.628,16.40415678,11.01,1.8,0.92295,29.41807,85.9576,37.031572102989955,0
2025/4/8 13:58,106.59,26.628,7.762525817,11.01,1.8,0.92295,29.41807,85.9576,17.862287720265748,0
2025/4/8 13:59,106.59,26.628,2.552289483,11.01,1.8,0.92295,29.41807,85.9576,7.406314420597992,0
2025/4/8 14:00,106.59,26.628,1.09298158,11.01,1.8,0.92295,29.41807,85.9576,6.099317758139523,0
2025/4/8 14:01,106.59,26.628,5.344799687,11.01,1.8,0.92295,29.41807,85.9576,12.634301070431867,0
2025/4/8 14:02,106.59,26.628,9.554491501,11.01,1.8,0.92295,29.41807,85.9576,26.13993324916938,0
